Rmonth,Plot,season,Treat,enzyme,assayT,Vmax
11,1,W,Control,AGase,2,0.03
11,3,W,Control,AGase,2,0.03
11,5,W,Control,AGase,2,0.04
11,4,W,Control,AGase,2,0.06
11,9,W,Control,AGase,2,0.04
11,1,W,Control,BGase,2,2.08
11,3,W,Control,BGase,2,1.93
11,5,W,Control,BGase,2,1.91
11,4,W,Control,BGase,2,3.95
11,9,W,Control,BGase,2,2.69
11,1,W,Control,BPase,2,1.95
11,3,W,Control,BPase,2,0.9
11,5,W,Control,BPase,2,2.2
11,4,W,Control,BPase,2,2.46
11,9,W,Control,BPase,2,1.95
11,1,W,Control,CEase,2,0.12
11,3,W,Control,CEase,2,0.23
11,5,W,Control,CEase,2,0.21
11,4,W,Control,CEase,2,0.22
11,9,W,Control,CEase,2,0.12
11,1,W,Control,LPase,2,5.36
11,3,W,Control,LPase,2,5.1
11,5,W,Control,LPase,2,9.45
11,4,W,Control,LPase,2,12.08
11,9,W,Control,LPase,2,5.34
11,1,W,Control,Pase,2,8.99
11,3,W,Control,Pase,2,5.16
11,5,W,Control,Pase,2,11.68
11,4,W,Control,Pase,2,14.65
11,9,W,Control,Pase,2,10.22
11,1,W,Control,Nase,2,1.62
11,3,W,Control,Nase,2,1.4
11,5,W,Control,Nase,2,1.77
11,4,W,Control,Nase,2,2.21
11,9,W,Control,Nase,2,2.03
11,1,W,Control,PXase,2,106.61
11,3,W,Control,PXase,2,124.97
11,5,W,Control,PXase,2,116.13
11,4,W,Control,PXase,2,177.17
11,9,W,Control,PXase,2,182.89
11,1,W,Control,Sase,2,1.72
11,3,W,Control,Sase,2,1.48
11,5,W,Control,Sase,2,2.03
11,4,W,Control,Sase,2,2.77
11,9,W,Control,Sase,2,1.99
11,1,W,Control,XYase,2,0.14
11,3,W,Control,XYase,2,0.27
11,5,W,Control,XYase,2,0.23
11,4,W,Control,XYase,2,0.21
11,9,W,Control,XYase,2,0.18
11,1,W,+8°C,AGase,2,0.01
11,3,W,+8°C,AGase,2,0.01
11,5,W,+8°C,AGase,2,0.01
11,4,W,+8°C,AGase,2,0.31
11,9,W,+8°C,AGase,2,0.04
11,1,W,+8°C,BGase,2,1.11
11,3,W,+8°C,BGase,2,0.82
11,5,W,+8°C,BGase,2,1.48
11,4,W,+8°C,BGase,2,3.41
11,9,W,+8°C,BGase,2,2.46
11,1,W,+8°C,BPase,2,1.35
11,3,W,+8°C,BPase,2,0.77
11,5,W,+8°C,BPase,2,2.29
11,4,W,+8°C,BPase,2,2.26
11,9,W,+8°C,BPase,2,1.88
11,1,W,+8°C,CEase,2,0.23
11,3,W,+8°C,CEase,2,0.07
11,5,W,+8°C,CEase,2,0.17
11,4,W,+8°C,CEase,2,0.18
11,9,W,+8°C,CEase,2,0.17
11,1,W,+8°C,LPase,2,7.04
11,3,W,+8°C,LPase,2,2.45
11,5,W,+8°C,LPase,2,7.05
11,4,W,+8°C,LPase,2,13.76
11,9,W,+8°C,LPase,2,7.11
11,1,W,+8°C,Pase,2,9.04
11,3,W,+8°C,Pase,2,5.1
11,5,W,+8°C,Pase,2,12.16
11,4,W,+8°C,Pase,2,15.09
11,9,W,+8°C,Pase,2,11.77
11,1,W,+8°C,Nase,2,1.02
11,3,W,+8°C,Nase,2,0.56
11,5,W,+8°C,Nase,2,0.99
11,4,W,+8°C,Nase,2,2.05
11,9,W,+8°C,Nase,2,2.29
11,1,W,+8°C,PXase,2,152.65
11,3,W,+8°C,PXase,2,128.89
11,5,W,+8°C,PXase,2,129.13
11,4,W,+8°C,PXase,2,156.66
11,9,W,+8°C,PXase,2,179.68
11,1,W,+8°C,Sase,2,1.78
11,3,W,+8°C,Sase,2,0.45
11,5,W,+8°C,Sase,2,1.19
11,4,W,+8°C,Sase,2,2.67
11,9,W,+8°C,Sase,2,3.08
11,1,W,+8°C,XYase,2,0.33
11,3,W,+8°C,XYase,2,0.08
11,5,W,+8°C,XYase,2,0.2
11,4,W,+8°C,XYase,2,0.17
11,9,W,+8°C,XYase,2,0.21
11,1,W,Control,AGase,10,0.05
11,3,W,Control,AGase,10,0.06
11,5,W,Control,AGase,10,0.06
11,4,W,Control,AGase,10,0.09
11,9,W,Control,AGase,10,0.07
11,1,W,Control,BGase,10,2.35
11,3,W,Control,BGase,10,2.54
11,5,W,Control,BGase,10,3.2
11,4,W,Control,BGase,10,3.65
11,9,W,Control,BGase,10,2.8
11,1,W,Control,BPase,10,1.79
11,3,W,Control,BPase,10,1.18
11,5,W,Control,BPase,10,3.3
11,4,W,Control,BPase,10,2.98
11,9,W,Control,BPase,10,2.17
11,1,W,Control,CEase,10,0.2
11,3,W,Control,CEase,10,0.44
11,5,W,Control,CEase,10,0.34
11,4,W,Control,CEase,10,0.4
