Group	ASV_ID	total_reads	freq	enrich_indval	test_indval	pval_indval	enrich_lefse	test_lefse	pval_lefse	Kingdom	Phylum	Class	Order	Family	Genus
ASV116	ASV116	142	10	W3	0.830945558739255	0.019	W3	3.60498545666191	0.035614586211372	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Neopaxillus
ASV4	ASV4	2532								Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum
ASV416	ASV416	51								Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis
ASV114	ASV114	126	4	C0	0.8	0.009	C0	3.46820763999927	0.0167090752555271	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi
ASV233	ASV233	56	8	W3	0.789473684210526	0.025	W3	3.10212175533113	0.0188778228160563	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	f_Nectriaceae
ASV12	ASV12	1661	11	W3	0.617620921670687	0.036				Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi
ASV164	ASV164	54	4	W8	1	0.007	W8	3.33204413826619	0.00316976330632297	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	o_Sebacinales	o_Sebacinales
ASV8	ASV8	2412								Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum
ASV45	ASV45	803					W8	4.31028195880812	0.0396819242264057	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	f_Glomeraceae
ASV150	ASV150	230								Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
ASV124	ASV124	91								Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota
ASV177	ASV177	147	7	W8	0.775510204081633	0.034	W8	3.63287796477527	0.0130013098725021	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	f_Glomeraceae
ASV274	ASV274	62								Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma
ASV202	ASV202	84					W3	3.33870684638427	0.0390268076437326	Fungi	Glomeromycota	Glomeromycetes	Gigasporales	Gigasporaceae	Gigaspora
ASV105	ASV105	280	7	W8	0.696428571428571	0.042	W8	3.88008315212879	0.0190683298386486	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Kamienskia
ASV174	ASV174	104								Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia
ASV60	ASV60	248								Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota
ASV2	ASV2	3786								Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	f_Mycosphaerellaceae
ASV38	ASV38	471								Fungi	Basidiomycota	Agaricomycetes	Agaricales	o_Agaricales	o_Agaricales
ASV57	ASV57	411								Fungi	Basidiomycota	p_Basidiomycota	p_Basidiomycota	p_Basidiomycota	p_Basidiomycota
ASV70	ASV70	293	3	W8	0.75	0.026	W8	4.05102029608909	0.0189000074105482	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi
ASV10	ASV10	1103	4	C0	0.8	0.015	C0	4.44946530704824	0.0167090752555271	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi
ASV44	ASV44	695								Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces
ASV55	ASV55	485								Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes
ASV126	ASV126	88	4	C0	0.8	0.011	C0	3.32201224792857	0.0167090752555271	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota
ASV64	ASV64	325								Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
ASV34	ASV34	135								Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces
ASV95	ASV95	171	9	W3	0.894357743097239	0.011	W3	3.71045397174469	0.00897278365130607	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
ASV81	ASV81	290					W3	3.69970433965785	0.0137637867330504	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiales_fam_Incertae_sedis	Delfinachytrium
ASV100	ASV100	205								Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pseudopestalotiopsis
ASV58	ASV58	59	4	C0	0.8	0.016	C0	3.07169659912317	0.0167090752555271	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi
ASV129	ASV129	139								Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	f_Ganodermataceae
ASV104	ASV104	137					W3	3.35298307381005	0.0189471511297691	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
ASV20	ASV20	819								Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi
ASV86	ASV86	350					W8	3.95400191317711	0.0262371874144949	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	f_Glomeraceae
ASV119	ASV119	143	3	W3	0.75	0.036	W3	3.66927546427127	0.0189000074105482	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces
ASV23	ASV23	828	9	C0	0.913946587537092	0.026	C0	4.24256576272816	0.0109408232079904	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota
ASV120	ASV120	124								Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiales_fam_Incertae_sedis	Operculomyces
ASV278	ASV278	65								Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Meripilus
ASV118	ASV118	90	5	C0	1	0.001	C0	3.38994727806684	0.00380504077551137	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi
ASV22	ASV22	817	11	C0	0.747239976757699	0.018				Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum
ASV300	ASV300	71								Fungi	Ascomycota	Dothideomycetes	Minutisphaerales	Minutisphaeraceae	Minutisphaera
ASV250	ASV250	65								Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
ASV25	ASV25	467								Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi
