Group	P10_D00_010_C0E	P02_D00_010_C0A	P04_D00_010_C0B	P06_D00_010_C0C	P08_D00_010_C0D	P01_D00_010_W3A	P03_D00_010_W3B	P07_D00_010_W3D	P09_D00_010_W3E	P01_D00_010_W8A	P03_D00_010_W8B	P05_D00_010_W8C	P07_D00_010_W8D
ASV116	3	0	2	7	0	7	85	9	15	2	10	0	2
ASV4	260	458	76	72	987	201	25	49	81	32	100	163	28
ASV416	1	4	0	3	0	0	0	0	0	4	36	3	0
ASV114	0	79	1	18	28	0	0	0	0	0	0	0	0
ASV233	0	1	4	4	5	2	11	4	25	0	0	0	0
ASV12	32	24	166	206	0	33	351	294	295	0	51	7	202
ASV164	0	0	0	0	0	0	0	0	0	14	2	14	24
ASV8	0	0	0	0	0	2398	1	1	0	4	3	5	0
ASV45	5	2	2	8	0	0	55	16	153	22	74	126	340
ASV150	0	0	0	0	0	4	0	1	6	4	214	1	0
ASV124	15	24	52	0	0	0	0	0	0	0	0	0	0
ASV177	0	0	0	0	0	0	20	3	10	3	54	13	44
ASV274	1	6	0	2	9	1	1	4	7	9	13	8	1
ASV202	0	0	0	0	0	0	17	13	36	0	4	8	6
ASV105	0	0	0	0	0	0	16	5	64	35	4	54	102
ASV174	0	1	7	12	0	0	22	14	10	6	16	8	8
ASV60	0	241	4	3	0	0	0	0	0	0	0	0	0
ASV2	122	71	28	26	1024	14	222	66	400	94	550	1123	46
ASV38	0	0	1	469	1	0	0	0	0	0	0	0	0
ASV57	4	16	24	4	4	0	129	18	25	16	0	98	73
ASV70	0	0	0	0	0	0	0	0	0	3	203	87	0
ASV10	7	471	346	279	0	0	0	0	0	0	0	0	0
ASV44	14	1	0	196	7	15	63	27	23	5	0	5	339
ASV55	7	0	0	1	6	6	9	99	193	52	61	51	0
ASV126	1	57	7	23	0	0	0	0	0	0	0	0	0
ASV64	2	86	1	3	24	28	36	1	9	53	0	36	46
ASV34	1	0	1	133	0	0	0	0	0	0	0	0	0
ASV95	2	8	3	8	1	3	78	13	55	0	0	0	0
ASV81	2	2	6	11	3	19	46	17	99	14	19	16	36
ASV100	8	20	5	4	13	3	7	6	15	9	55	57	3
ASV58	22	4	5	28	0	0	0	0	0	0	0	0	0
ASV129	4	4	1	2	11	5	17	7	29	30	6	20	3
ASV104	37	6	5	16	20	4	14	24	11	0	0	0	0
ASV20	0	128	130	273	40	11	14	223	0	0	0	0	0
ASV86	0	0	0	0	0	5	11	6	103	42	0	52	131
ASV119	0	0	0	0	0	58	83	0	2	0	0	0	0
ASV23	5	103	65	10	587	1	33	3	21	0	0	0	0
ASV120	0	29	0	28	67	0	0	0	0	0	0	0	0
ASV278	3	2	2	1	0	1	2	5	6	15	5	21	2
ASV118	8	13	53	14	2	0	0	0	0	0	0	0	0
ASV22	141	191	64	9	238	69	0	13	19	20	0	46	7
ASV300	1	0	1	0	4	1	11	0	18	1	20	14	0
ASV250	0	3	0	16	46	0	0	0	0	0	0	0	0
ASV25	12	449	6	0	0	0	0	0	0	0	0	0	0
ASV261	0	0	0	0	0	0	0	0	0	11	43	30	0
ASV91	3	6	6	6	7	11	2	16	34	33	77	65	4
ASV111	0	4	1	2	85	1	11	39	7	13	6	24	5
ASV9	62	100	39	74	411	56	375	288	171	121	66	71	20
ASV205	6	7	0	0	5	2	3	10	11	23	18	3	0
ASV316	1	1	3	0	9	0	14	5	3	10	0	4	17
ASV219	0	0	0	0	0	0	0	0	0	4	106	23	0
ASV128	2	1	2	0	0	19	62	1	90	0	0	0	0
ASV169	8	26	2	5	4	14	0	10	11	0	0	0	0
ASV186	4	0	1	21	48	0	0	0	0	0	0	0	0
ASV184	1	3	16	2	42	0	0	0	0	0	0	0	0
ASV262	1	0	2	53	0	0	0	0	0	0	0	0	0
ASV259	4	11	3	0	7	11	5	6	15	0	0	0	0
ASV286	0	0	0	0	0	1	1	0	8	37	36	5	0
ASV1	3978	103	12	2	0	1256	3	0	7	0	0	0	0
ASV103	0	0	0	0	0	0	0	0	0	66	33	49	0
ASV172	0	12	0	59	5	0	0	0	0	0	0	0	0
ASV208	0	52	1	0	1	0	0	0	0	0	0	0	0
ASV106	0	0	0	0	0	0	0	0	0	71	154	17	0
ASV83	0	12	107	1	0	0	0	0	0	0	0	0	0
ASV227	0	0	0	0	0	0	18	21	18	0	0	0	0
ASV74	5	0	7	14	12	1	0	4	113	37	152	22	0
