Group	P10_D00_010_C0E	P02_D00_010_C0A	P04_D00_010_C0B	P06_D00_010_C0C	P08_D00_010_C0D	P01_D00_010_W3A	P03_D00_010_W3B	P07_D00_010_W3D	P09_D00_010_W3E	P01_D00_010_W8A	P03_D00_010_W8B	P05_D00_010_W8C	P07_D00_010_W8D
ASV116	49.7842681712579	0	50.3271263210871	115.645134643978	0	110.706942906848	2218.74184286087	200.222469410456	348.594004183128	62.6370184779205	217.627856365615	0	48.6854917234664
ASV4	4314.63657484235	8712.19326612136	1912.43080020131	1189.49281348092	15973.4584884285	3178.87078918235	652.571130253198	1090.10011123471	1882.40762258889	1002.19229564673	2176.27856365615	4273.72836916623	681.59688412853
ASV416	16.594756057086	76.0890241582652	0	49.5622005617049	0	0	0	0	0	125.274036955841	783.460282916213	78.6575773466177	0
ASV114	0	1502.75822712574	25.1635631605435	297.37320337023	453.14775853698	0	0	0	0	0	0	0	0
ASV233	0	19.0222560395663	100.654252642174	66.0829340822733	80.9192425958893	31.6305551162423	287.131297311407	88.9877641824249	580.99000697188	0	0	0	0
ASV12	531.032193826751	456.534144949591	4177.15148465023	3403.27110523707	0	521.904159417998	9162.09866875489	6540.60066740823	6855.68208226818	0	1109.90206746464	183.534347142108	4917.23466407011
ASV164	0	0	0	0	0	0	0	0	0	438.459129345443	43.525571273123	367.068694284216	584.225900681597
ASV8	0	0	0	0	0	37925.0355843745	26.1028452101279	22.2469410456062	0	125.274036955841	65.2883569096844	131.095962244363	0
ASV45	82.9737802854298	38.0445120791326	50.3271263210871	132.165868164547	0	0	1435.65648655703	355.9510567297	3555.65884266791	689.007203257125	1610.44613710555	3303.61824855794	8276.53359298929
ASV150	0	0	0	0	0	63.2611102324846	0	22.2469410456062	139.437601673251	125.274036955841	4657.23612622416	26.2191924488726	0
ASV124	248.921340856289	456.534144949591	1308.50528434826	0	0	0	0	0	0	0	0	0	0
ASV177	0	0	0	0	0	0	522.056904202558	66.7408231368187	232.396002788752	93.9555277168807	1175.19042437432	340.849501835343	1071.08081791626
ASV274	16.594756057086	114.133536237398	0	33.0414670411366	145.654636672601	15.8152775581211	26.1028452101279	88.9877641824249	162.677201952126	281.866583150642	282.916213275299	209.753539590981	24.3427458617332
ASV202	0	0	0	0	0	0	443.748368572174	289.210233592881	836.625610039507	0	87.0511425462459	209.753539590981	146.056475170399
ASV105	0	0	0	0	0	0	417.645523362047	111.234705228031	1487.33441784801	1096.14782336361	87.0511425462459	1415.83639223912	2482.96007789679
ASV174	0	19.0222560395663	176.144942123805	198.24880224682	0	0	574.262594622814	311.457174638487	232.396002788752	187.911055433761	348.204570184984	209.753539590981	194.741966893866
ASV60	0	4584.36370553548	100.654252642174	49.5622005617049	0	0	0	0	0	0	0	0	0
ASV2	2024.56023896449	1350.58017880921	704.579768495219	429.539071534776	16572.2608836381	221.413885813696	5794.8316366484	1468.29810901001	9295.84011155008	2943.93986846226	11969.5321001088	29444.1531200839	1119.76630963973
ASV38	0	0	25.1635631605435	7748.22402114654	16.1838485191779	0	0	0	0	0	0	0	0
ASV57	66.3790242283439	304.356096633061	603.925515853045	66.0829340822733	64.7353940767114	0	3367.2670321065	400.444938820912	580.99000697188	501.096147823364	0	2569.48085998951	1777.02044790652
ASV70	0	0	0	0	0	0	0	0	0	93.9555277168807	4417.84548422198	2281.06974305191	0
ASV10	116.163292399602	8959.48259463572	8706.59285354806	4609.28465223856	0	0	0	0	0	0	0	0	0
ASV44	232.326584799203	19.0222560395663	0	3238.06377003139	113.286939634245	237.229163371817	1644.47924823806	600.667408231368	534.51080641413	156.592546194801	0	131.095962244363	8252.19084712756
ASV55	116.163292399602	0	0	16.5207335205683	97.1030911150672	94.8916653487269	234.925606891151	2202.44716351502	4485.24285382291	1628.56248042593	1327.52992383025	1337.1788148925	0
ASV126	16.594756057086	1084.26859425528	176.144942123805	379.976870973071	0	0	0	0	0	0	0	0	0
