taxon	t_order!Geastrales	t_order!Glomerales	t_order!Helotiales	t_order!Hypocreales	t_order!Saccharomycetales	t_order!Trichosporonales	t_order!Xylariales	t_order!Eurotiales	t_order!Capnodiales	t_order!Archaeorhizomycetales	t_order!Agaricales	t_order!c_Agaricomycetes	t_order!p_Ascomycota	t_order!k_Fungi	t_order!Polyporales	t_order!Mortierellales	t_order!Pezizales	t_order!c_Sordariomycetes	t_order!p_Basidiomycota	t_order!Pleosporales	t_order!Jahnulales	t_order!Cantharellales	t_order!Botryosphaeriales	t_order!Gigasporales	t_order!Chytridiales	t_order!Rhizophydiales	t_order!Kickxellales	t_order!p_Chytridiomycota	t_order!Sordariales	t_order!Sebacinales	t_order!c_Paraglomeromycetes	t_order!GS11	t_order!Minutisphaerales	t_order!Auriculariales	t_order!Diaporthales	t_order!Sporidiobolales	t_order!Tremellales	t_order!Tubeufiales	t_order!p_Glomeromycota	t_order!Chaetothyriales	t_order!c_Archaeorhizomycetes	t_order!c_Glomeromycetes	t_order!GS19	t_order!Thelephorales	t_order!Umbelopsidales	t_order!Zoopagales	t_order!Diversisporales	t_order!Hymenochaetales	t_order!Boletales	t_order!Glomerellales	t_order!Onygenales	t_order!Trichosphaeriales	t_order!Annulatascales	t_order!Sordariomycetes_ord_Incertae_sedis	t_order!GS05	t_order!p_Rozellomycota
P01_D00_010_W3A	2399	31	6	75	195	642	22	65	27	405	1276	3	562	583	36	48	32	7	0	46	0	29	13	0	19	0	6	4	7	0	0	6	2	0	21	0	0	3	0	3	0	0	3	1	0	1	3	0	2	0	3	0	0	0	0	0
P01_D00_010_W8A	4	124	4	222	804	70	51	288	107	15	24	0	121	241	231	456	297	89	20	52	3	71	36	0	14	32	23	0	11	14	0	0	1	11	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
P02_D00_010_C0A	0	23	10	168	263	995	83	30	83	234	1042	5	830	1639	49	98	45	2	33	35	0	25	7	0	2	29	16	18	2	0	13	3	0	0	0	2	1	5	3	3	8	6	0	0	0	1	0	0	0	3	0	4	0	0	1	0
P03_D00_010_W3B	2	199	2	115	481	30	53	99	239	469	135	7	254	1283	81	78	26	10	264	97	14	50	9	96	46	0	36	20	21	0	23	3	20	0	48	9	0	0	2	4	0	0	1	8	0	10	3	2	0	0	4	0	0	0	0	0
P03_D00_010_W8B	3	169	214	222	155	100	203	381	783	12	23	0	244	787	204	200	21	213	16	4	563	154	140	20	19	30	0	0	24	2	0	0	20	43	0	0	15	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
P04_D00_010_C0B	0	70	1	46	254	154	26	6	32	473	77	4	1230	1732	7	4	6	8	29	32	2	20	6	0	6	3	3	13	6	39	19	21	1	0	0	15	0	0	3	0	21	8	0	1	0	1	0	0	0	0	0	0	2	3	0	1
P05_D00_010_W8C	5	316	1	77	116	335	336	74	1226	8	31	0	22	451	242	103	157	73	155	14	4	17	176	11	16	24	77	0	36	14	0	0	14	30	0	0	8	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0
P06_D00_010_C0C	0	58	0	82	137	110	78	25	42	1866	590	34	1807	1458	27	41	31	18	15	63	6	15	25	1	11	37	2	24	1	28	8	3	0	0	0	8	2	7	26	6	5	11	0	1	3	3	0	0	0	2	0	0	4	3	2	1
P07_D00_010_W3D	7	110	8	356	156	82	44	271	93	425	213	10	317	2024	148	83	4	109	27	84	8	137	23	65	17	0	38	30	24	0	11	0	4	0	2	1	0	9	1	3	0	0	0	1	0	2	2	8	1	0	5	0	0	0	0	0
P07_D00_010_W8D	0	749	0	72	302	41	7	10	52	1548	32	0	483	259	48	48	370	0	77	8	4	0	6	10	36	8	4	0	11	24	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
P08_D00_010_C0D	0	63	19	422	38	1815	87	72	1126	484	130	365	677	619	145	73	77	39	8	137	2	39	15	2	3	73	4	66	18	0	3	42	4	0	0	12	29	7	0	14	0	7	0	10	6	0	0	0	0	0	0	3	4	0	1	1
P09_D00_010_W3E	0	465	15	163	351	172	56	437	465	231	169	5	115	1147	121	15	56	312	33	46	30	70	34	131	99	0	12	30	25	0	31	8	29	0	2	5	0	19	3	1	0	0	1	0	0	1	6	4	10	0	0	0	0	0	0	0
P10_D00_010_C0E	0	24	3	145	21	464	107	17	151	423	4281	8	112	300	36	10	62	14	8	48	0	4	4	1	2	0	0	0	1	6	9	11	1	0	0	11	5	5	4	1	0	2	0	0	2	0	0	0	0	8	0	4	0	2	0	0
