taxon	t_order!Geastrales	t_order!Glomerales	t_order!Helotiales	t_order!Hypocreales	t_order!Saccharomycetales	t_order!Trichosporonales	t_order!Xylariales	t_order!Eurotiales	t_order!Capnodiales	t_order!Archaeorhizomycetales	t_order!Agaricales	t_order!c_Agaricomycetes	t_order!p_Ascomycota	t_order!k_Fungi	t_order!Polyporales	t_order!Mortierellales	t_order!Pleosporales	t_order!p_Chytridiomycota	t_order!Pezizales	t_order!c_Sordariomycetes	t_order!c_Paraglomeromycetes	t_order!Cantharellales	t_order!p_Basidiomycota	t_order!Sordariales	t_order!Zoopagales	t_order!Botryosphaeriales	t_order!Hymenochaetales	t_order!Auriculariales	t_order!Gigasporales	t_order!Kickxellales	t_order!Thelephorales	t_order!Sebacinales	t_order!Rhizophydiales	t_order!GS24	t_order!Jahnulales	t_order!p_Glomeromycota	t_order!c_Eurotiomycetes	t_order!Chytridiales	t_order!Pleurotheciales	t_order!c_Archaeorhizomycetes	t_order!c_Glomeromycetes	t_order!Tremellales	t_order!GS11	t_order!p_Rozellomycota	t_order!Trechisporales	t_order!Diversisporales	t_order!Sordariomycetes_ord_Incertae_sedis	t_order!Tubeufiales	t_order!Diaporthales	t_order!Chaetothyriales	t_order!Minutisphaerales	t_order!Sporidiobolales	t_order!Russulales	t_order!Annulatascales	t_order!Boletales	t_order!Orbiliales	t_order!Venturiales	t_order!Branch06	t_order!Chaetosphaeriales	t_order!Erythrobasidiales	t_order!Atheliales	t_order!Tritirachiales	t_order!Onygenales	t_order!Glomerellales	t_order!c_GS14	t_order!GS19	t_order!c_Dothideomycetes	t_order!Geoglossales	t_order!Microascales	t_order!Platygloeales	t_order!c_Tremellomycetes	t_order!Rhizophlyctidales	t_order!Basidiobolales	t_order!Phallales	t_order!c_GS13	t_order!c_Cystobasidiomycetes	t_order!Synchytriales	t_order!Umbelopsidales	t_order!Trichosphaeriales	t_order!Cystobasidiales	t_order!Calcarisporiellales	t_order!GS23	t_order!Dothideales	t_order!Agaricostilbales	t_order!c_Rozellomycotina_cls_Incertae_sedis	t_order!Conioscyphales	t_order!c_Pucciniomycetes	t_order!Stereopsidales	t_order!Corticiales	t_order!GS32	t_order!GS15	t_order!Symbiotaphrinales	t_order!c_Lobulomycetes	t_order!Tremellodendropsidales	t_order!c_Orbiliomycetes	t_order!Paraglomerales	t_order!Fuscosporellales	t_order!Ophiostomatales	t_order!c_Leotiomycetes	t_order!GS05	t_order!Pezizomycotina_ord_Incertae_sedis	t_order!Acrospermales	t_order!Savoryellales	t_order!Malasseziales	t_order!Strigulales	t_order!Valsariales	t_order!Thelebolales	t_order!c_Lecanoromycetes	t_order!Microbotryomycetes_ord_Incertae_sedis	t_order!Wallemiales	t_order!Archaeosporales	t_order!Lecanorales	t_order!Cystobasidiomycetes_ord_Incertae_sedis	t_order!Septobasidiales	t_order!Magnaporthales	t_order!Exobasidiales
P01_D00_010_W3A	7835	220	81	878	882	2125	187	218	98	1998	5258	123	2975	4068	169	224	204	67	215	49	73	134	70	56	11	67	9	335	1	67	224	21	7	13	3	34	9	61	2	22	42	5	22	6	14	21	2	43	104	24	2	0	9	5	28	29	13	0	13	28	0	2	12	31	11	30	0	89	30	0	0	16	0	2	0	13	3	2	0	9	0	11	0	0	15	0	2	0	0	7	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
P01_D00_010_W8A	84	2717	76	4226	5973	244	995	1490	486	110	991	84	1892	4177	1372	2014	1053	2830	1437	606	329	595	107	565	2789	691	1349	64	0	213	39	253	153	622	24	0	0	70	16	0	8	13	70	32	8	0	8	33	6	6	5	0	138	0	106	0	22	8	45	3	73	33	2	40	0	53	13	0	0	0	0	36	107	83	0	23	0	4	0	12	40	35	5	0	0	0	15	0	0	0	0	19	0	0	0	0	0	11	9	0	0	14	0	0	0	2	0	0	0	0	0	0	4	0	0	0
P02_D00_010_C0A	59	283	58	1495	2298	5248	763	224	650	4080	12944	173	6775	10687	344	770	351	143	309	97	374	306	202	15	22	46	973	106	30	184	24	17	157	6	7	73	56	28	1	36	41	23	39	16	16	46	12	32	26	37	0	10	20	5	21	17	10	1	130	2	0	0	2	41	4	19	0	0	61	10	0	11	0	0	0	3	0	12	10	7	5	0	0	0	2	0	0	0	7	0	0	0	0	0	9	0	0	0	13	2	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0
P03_D00_010_W3B	15	990	40	1384	3512	127	394	496	926	4171	1541	1597	7165	7312	326	328	418	159	291	172	1415	288	1273	204	101	229	6	388	352	136	39	435	18	49	50	250	0	191	6	68	154	52	24	8	17	167	165	18	163	43	84	34	72	199	12	2	0	114	0	86	8	0	11	0	6	10	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	17	0	0	0	5	4	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
P03_D00_010_W8B	8	275	400	851	447	156	553	917	1332	66	721	10	1165	2006	331	324	221	192	30	356	0	223	20	35	4	430	12	84	88	0	94	163	43	49	870	237	0	31	912	43	55	88	22	0	11	11	0	63	10	44	28	0	33	0	0	33	0	0	0	15	0	0	0	0	21	0	0	0	19	0	0	0	0	0	13	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
P04_D00_010_C0B	22	710	419	583	2038	877	332	102	392	11047	5398	9468	9200	12438	81	136	278	170	55	196	133	212	262	59	18	49	4	160	1	57	10	216	34	18	30	49	21	24	0	473	75	28	135	31	11	15	82	2	12	33	14	74	0	18	6	34	21	22	0	12	6	0	5	0	0	11	0	56	14	10	2	0	0	2	0	0	9	4	0	0	5	0	0	4	3	0	18	0	0	25	6	0	0	6	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0
P05_D00_010_W8C	22	1361	36	972	1565	1833	2297	722	5412	64	2465	57	1290	5991	1275	592	508	57	705	675	1897	91	674	610	18	776	282	305	615	639	86	58	86	0	9	76	0	54	0	21	0	126	20	21	251	0	123	0	33	51	72	0	13	0	10	17	19	0	0	53	125	93	32	29	0	31	13	0	0	0	0	7	0	19	82	0	0	3	44	0	0	0	29	0	0	31	0	23	20	0	0	3	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
P06_D00_010_C0C	20	668	9	657	1305	514	481	202	269	10450	6019	588	10331	9843	194	221	371	492	160	139	55	434	157	61	106	143	5	199	81	42	7	162	223	1	14	232	0	86	10	14	222	22	39	72	20	123	14	14	2	35	15	38	0	12	6	12	5	23	6	0	0	0	24	13	61	1	0	0	0	0	0	0	0	0	6	0	11	4	0	18	0	0	14	8	22	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	6	0	0	0	4	0	0	0	0
P07_D00_010_W3D	16	969	71	4263	1627	447	563	1376	469	2034	3666	234	2577	11584	608	421	447	136	297	645	34	532	217	212	31	156	164	268	267	288	51	25	32	41	31	90	0	81	9	58	80	8	0	353	28	10	30	107	8	61	60	9	18	0	8	27	5	1	0	0	0	4	33	3	22	4	0	0	0	0	56	0	0	0	0	11	0	2	0	16	0	7	0	0	5	0	0	15	9	0	9	0	0	0	0	0	10	0	0	4	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
P07_D00_010_W8D	1	848	0	101	448	41	17	11	59	3519	161	16	725	1963	52	50	79	45	400	3	8	151	165	19	2	6	32	0	24	45	0	24	8	0	4	9	0	37	0	0	1	3	1	3	0	14	5	3	1	0	4	0	0	0	2	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	53	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
