Group	ASV_ID	total_reads	freq	enrich_indval	test_indval	pval_indval	enrich_lefse	test_lefse	pval_lefse	Kingdom	Phylum	Class	Order	Family	Genus
ASV147	ASV147	339								Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
ASV120	ASV120	407					W8	3.50443509157851	0.0317804134091488	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Elsterales	o_Elsterales	o_Elsterales
ASV467	ASV467	120								Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	f_Vicinamibacteraceae
ASV123	ASV123	422								Bacteria	Acidobacteriota	Blastocatellia	11-24	o_11-24	o_11-24
ASV573	ASV573	108								Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	f_Pedosphaeraceae
ASV342	ASV342	184								Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV388	ASV388	141	4	C0	0.8	0.015	C0	3.115642154446	0.00714618614709697	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	o_Rokubacteriales	o_Rokubacteriales
ASV270	ASV270	208	9	C0	0.769230769230769	0.003	C0	3.13660589386393	0.0039951799112744	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	f_Saprospiraceae
ASV40	ASV40	970								Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	o_Rokubacteriales	o_Rokubacteriales
ASV421	ASV421	142								Bacteria	Desulfobacterota	p_Desulfobacterota	p_Desulfobacterota	p_Desulfobacterota	p_Desulfobacterota
ASV12	ASV12	1711								Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
ASV78	ASV78	629	15	W8	0.534181240063593	0.007	W8	3.37887105966933	0.00767336528789551	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
ASV61	ASV61	633								Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium
ASV505	ASV505	101					C0	2.6811216836742	0.035279809608434	Bacteria	Chloroflexi	TK10	c_TK10	c_TK10	c_TK10
ASV52	ASV52	736								Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	f_Xanthobacteraceae
ASV22	ASV22	1260	14	W3	0.482539682539682	0.036	W3	3.42876537110149	0.0391638950989871	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter
ASV149	ASV149	359								Bacteria	Acidobacteriota	Subgroup_5	c_Subgroup_5	c_Subgroup_5	c_Subgroup_5
ASV157	ASV157	266					W3	3.09210254709825	0.0077218314880025	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus_Xiphinematobacter
ASV369	ASV369	182	3	W8	0.6	0.049	W8	3.15023932966713	0.0317804134091488	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	f_Fimbriimonadaceae
ASV674	ASV674	102								Bacteria	Acidobacteriota	Subgroup_22	c_Subgroup_22	c_Subgroup_22	c_Subgroup_22
ASV216	ASV216	144					W8	3.09319822841984	0.0317804134091488	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	o_Vicinamibacterales	o_Vicinamibacterales
ASV111	ASV111	437								Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
ASV345	ASV345	175								Bacteria	Chloroflexi	SHA-26	c_SHA-26	c_SHA-26	c_SHA-26
ASV30	ASV30	709					W8	3.77015959565975	0.0317804134091488	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1
ASV75	ASV75	538					C0	3.38441250194906	0.03227916403136	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	o_Rokubacteriales	o_Rokubacteriales
ASV228	ASV228	223	10	C0	0.600896860986547	0.015	C0	3.05817168844672	0.00365971365718817	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
ASV105	ASV105	371	9	W3	0.595687331536388	0.047	W3	3.24705254619451	0.0168624391396645	Bacteria	Acidobacteriota	Subgroup_5	c_Subgroup_5	c_Subgroup_5	c_Subgroup_5
ASV183	ASV183	297	9	C0	0.696969696969697	0.004	C0	3.22883608348472	0.0039951799112744	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rubrivivax
ASV50	ASV50	737								Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	f_Xanthobacteraceae
ASV55	ASV55	699								Bacteria	Acidobacteriota	Blastocatellia	11-24	o_11-24	o_11-24
ASV385	ASV385	114					C0	2.70443723753377	0.0168624391396645	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas
ASV329	ASV329	124	9	W3	0.596774193548387	0.031	W3	2.77642288842931	0.0122446439439811	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	f_Chitinophagaceae
ASV91	ASV91	514								Bacteria	Acidobacteriota	Subgroup_25	c_Subgroup_25	c_Subgroup_25	c_Subgroup_25
ASV224	ASV224	214	9	C0	0.677570093457944	0.021	C0	3.10226786518136	0.00918056373983939	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	f_Vicinamibacteraceae
ASV508	ASV508	114	10	C0	0.614035087719298	0.038	C0	2.73147327638719	0.00432023947409407	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	f_Anaerolineaceae
ASV89	ASV89	549					W8	3.15432015644097	0.0323869407729069	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
ASV603	ASV603	105								Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	o_Vicinamibacterales	o_Vicinamibacterales
ASV296	ASV296	144					W8	2.99203204757824	0.0454484541704541	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	o_Gaiellales	o_Gaiellales
ASV219	ASV219	216								Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas
ASV209	ASV209	202	4	C0	0.8	0.004	C0	3.26699890503456	0.00714618614709697	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	o_Rokubacteriales	o_Rokubacteriales
ASV285	ASV285	188								Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria
ASV25	ASV25	1124								Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	f_Xanthobacteraceae
ASV177	ASV177	288								Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1
