Group	P10_D00_010_C0E	P02_D00_010_C0A	P04_D00_010_C0B	P06_D00_010_C0C	P08_D00_010_C0D	P01_D00_010_W3A	P03_D00_010_W3B	P05_D00_010_W3C	P07_D00_010_W3D	P09_D00_010_W3E	P01_D00_010_W8A	P03_D00_010_W8B	P05_D00_010_W8C	P07_D00_010_W8D	P09_D00_010_W8E
ASV147	29	25	0	31	31	34	11	0	48	19	45	20	22	0	24
ASV120	0	0	0	0	0	0	0	0	0	0	5	328	74	0	0
ASV467	0	0	0	0	0	26	6	0	18	0	6	0	0	43	21
ASV123	7	10	26	26	45	0	47	85	21	31	14	0	0	30	80
ASV573	8	0	24	8	0	0	24	12	0	9	7	0	1	15	0
ASV342	0	15	0	6	14	28	17	15	13	11	17	21	19	8	0
ASV388	16	14	0	35	76	0	0	0	0	0	0	0	0	0	0
ASV270	30	15	35	47	33	25	4	0	3	16	0	0	0	0	0
ASV40	43	59	65	78	74	53	71	71	53	85	42	0	26	47	203
ASV421	20	0	27	29	0	0	24	27	0	15	0	0	0	0	0
ASV12	117	201	82	66	72	184	159	101	158	161	177	62	60	111	0
ASV78	35	25	34	49	24	26	25	19	32	24	36	71	90	49	90
ASV61	118	77	37	44	50	64	43	0	53	0	0	0	67	55	25
ASV505	0	7	30	6	13	12	0	12	7	14	0	0	0	0	0
ASV52	79	56	47	36	47	98	34	44	57	66	55	51	36	30	0
ASV22	29	70	56	52	73	78	114	97	154	165	152	91	79	50	0
ASV149	20	22	46	13	44	23	33	26	15	13	19	14	2	26	43
ASV157	22	51	35	6	16	47	44	25	12	8	0	0	0	0	0
ASV369	0	0	0	0	0	0	0	0	0	0	17	158	7	0	0
ASV674	33	0	26	16	0	7	6	14	0	0	0	0	0	0	0
ASV216	0	0	0	0	0	0	0	0	0	0	20	66	58	0	0
ASV111	19	33	48	18	45	51	30	17	27	23	19	18	31	10	48
ASV345	0	20	13	8	9	9	28	32	12	12	6	0	0	8	18
ASV30	0	0	0	0	0	0	0	0	0	0	30	393	286	0	0
ASV75	52	62	102	62	0	0	59	91	47	63	0	0	0	0	0
ASV228	35	28	22	18	31	34	7	18	17	13	0	0	0	0	0
ASV105	0	36	35	32	47	27	61	83	26	24	0	0	0	0	0
ASV183	55	37	58	36	21	0	30	25	17	18	0	0	0	0	0
ASV50	47	56	53	32	58	33	37	73	58	91	35	34	34	68	28
ASV55	45	91	37	42	33	57	60	70	99	39	38	12	16	32	28
ASV385	0	12	19	18	7	11	14	14	12	7	0	0	0	0	0
ASV329	0	13	16	15	6	14	21	8	12	19	0	0	0	0	0
ASV91	15	47	23	24	37	27	36	27	45	45	59	39	57	16	17
ASV224	40	33	18	37	17	19	0	25	19	6	0	0	0	0	0
ASV508	1	14	25	13	17	8	6	13	9	8	0	0	0	0	0
ASV89	38	12	16	29	17	42	20	42	60	22	83	46	71	35	16
ASV603	20	13	0	5	0	0	9	6	0	10	6	0	0	15	21
ASV296	15	16	0	6	0	0	0	0	0	0	9	28	59	11	0
ASV219	0	25	24	28	36	34	39	0	0	30	0	0	0	0	0
ASV209	76	0	33	40	53	0	0	0	0	0	0	0	0	0	0
ASV285	15	20	5	7	15	30	0	0	29	8	33	0	9	17	0
ASV25	80	85	90	81	73	124	47	52	90	71	92	115	76	48	0
ASV177	0	33	31	30	34	19	0	27	27	33	19	0	15	20	0
