Group	P10_D00_010_C0E	P02_D00_010_C0A	P04_D00_010_C0B	P06_D00_010_C0C	P08_D00_010_C0D	P01_D00_010_W3A	P03_D00_010_W3B	P05_D00_010_W3C	P07_D00_010_W3D	P09_D00_010_W3E	P01_D00_010_W8A	P03_D00_010_W8B	P05_D00_010_W8C	P07_D00_010_W8D	P09_D00_010_W8E
ASV147	232.204339819041	167.864097226885	0	243.137254901961	241.207594148771	246.34110998406	72.4733166425089	0	319.29754540012	129.374914884924	282.414961717083	186.219739292365	158.307548391739	0	240.818783865141
ASV120	0	0	0	0	0	0	0	0	0	0	31.379440190787	3054.00372439479	532.489026408577	0	0
ASV467	0	0	0	0	0	188.378495870164	39.530899986823	0	119.736579525045	0	37.6553282289444	0	0	359.742324102736	210.716435881999
ASV123	56.049323404596	67.145638890754	184.018684974167	203.921568627451	350.140056022409	0	309.658716563447	529.199352509028	139.692676112552	211.085387443824	87.8624325342036	0	0	250.983016815862	802.729279550472
ASV573	64.0563696052526	0	169.863401514615	62.7450980392157	0	0	158.123599947292	74.7104968248039	0	61.2828544191747	43.9312162671018	0	7.19579765416997	125.491508407931	0
ASV342	0	100.718458336131	0	47.0588235294118	108.932461873638	202.869149398638	112.004216629332	93.3881210310049	86.4764185458658	74.9012665123247	106.690096648676	195.530726256983	136.720155429229	66.9288044842299	0
ASV388	128.112739210505	94.0038944470557	0	274.509803921569	591.34765017118	0	0	0	0	0	0	0	0	0	0
ASV270	240.211386019697	100.718458336131	247.717460542147	368.627450980392	256.769374416433	181.133169105927	26.3539333245487	0	19.9560965875075	108.947296745199	0	0	0	0	0
ASV40	344.302986628233	396.159269455449	460.046712435417	611.764705882353	575.785869903517	384.002318504565	467.782316510739	442.037106213423	352.557706379299	578.782513958872	263.587297602611	0	187.090739008419	393.206726344851	2036.92554685932
ASV421	160.140924013132	0	191.096326703942	227.450980392157	0	0	158.123599947292	168.098617855809	0	102.138090698625	0	0	0	0	0
ASV12	936.82440547682	1349.62734170416	580.366621841602	517.64705882353	560.224089635854	1333.14012461962	1047.56884965081	628.813348275433	1051.02108694206	1096.28217349857	1110.83218275386	577.281191806331	431.747859250198	928.63716221869	0
ASV78	280.24661702298	167.864097226885	240.639818812372	384.313725490196	186.741363211951	188.378495870164	164.712083278429	118.291619972606	212.865030266747	163.420945117799	225.931969373666	661.080074487896	647.621788875297	409.938927465908	903.070439494281
ASV61	944.831451677476	517.021419458806	261.872744001699	345.098039215686	389.044506691566	463.700912911172	283.304783238898	0	352.557706379299	0	0	0	482.118442829388	460.135530829081	250.852899859522
ASV505	0	47.0019472235278	212.329251893269	47.0588235294118	101.151571739807	86.9439211708448	0	74.7104968248039	46.5642253708508	95.3288846520496	0	0	0	0	0
ASV52	632.55664985187	376.015577788223	332.649161299455	282.352941176471	365.701836290072	710.042022895233	224.008433258664	273.938488357614	379.165835162642	449.407599073948	345.173842098657	474.860335195531	259.048715550119	250.983016815862	0
ASV22	232.204339819041	470.019472235278	396.347936867436	407.843137254902	568.004979769686	565.135487610491	751.087099749638	603.909849333831	1024.41295815872	1123.51899768487	953.934981799925	847.299813780261	568.468014679427	418.305028026437	0
ASV149	160.140924013132	147.720405559659	325.571519569679	101.960784313725	342.359165888578	166.642515577453	217.419949927527	161.872743120408	99.7804829375374	88.5196786054746	119.241872724991	130.353817504655	14.3915953083399	217.518614573747	431.466987758379
ASV157	176.155016414445	342.442758342846	247.717460542147	47.0588235294118	124.494242141301	340.530357919142	289.893266570036	155.646868385008	79.8243863500299	54.4736483725997	0	0	0	0	0
ASV369	0	0	0	0	0	0	0	0	0	0	106.690096648676	1471.13594040968	50.3705835791897	0	0
ASV674	264.232524621667	0	184.018684974167	125.490196078431	0	50.7172873496595	39.530899986823	87.1622462956045	0	0	0	0	0	0	0
ASV216	0	0	0	0	0	0	0	0	0	0	125.517760763148	614.525139664804	417.356263941858	0	0
ASV111	152.133877812475	221.580608339488	339.726803029231	141.176470588235	350.140056022409	369.51166497609	197.654499934115	105.839870501806	179.604869287567	156.611739071224	119.241872724991	167.597765363129	223.069727279269	83.6610056052874	481.637567730283
ASV345	0	134.291277781508	92.0093424870833	62.7450980392157	70.0280112044818	65.2079408781336	184.477533271841	199.22799153281	79.8243863500299	81.7104725588996	37.6553282289444	0	0	66.9288044842299	180.614087898856
ASV30	0	0	0	0	0	0	0	0	0	0	188.276641144722	3659.21787709497	2057.99812909261	0	0
