taxon	t_phylum!Alphaproteobacteria	t_phylum!Gammaproteobacteria	t_phylum!Acidobacteriota	t_phylum!Actinobacteriota	t_phylum!Bacteroidota	t_phylum!Firmicutes	t_phylum!Myxococcota	t_phylum!Verrucomicrobiota	t_phylum!Chloroflexi	t_phylum!Planctomycetota	t_phylum!Methylomirabilota	t_phylum!Crenarchaeota	t_phylum!RCP2-54	t_phylum!Nitrospirota	t_phylum!Entotheonellaeota	t_phylum!Gemmatimonadota	t_phylum!Desulfobacterota	t_phylum!NB1-j	t_phylum!Latescibacterota	t_phylum!k_Bacteria	t_phylum!MBNT15	t_phylum!Cyanobacteria	t_phylum!Armatimonadota	t_phylum!Elusimicrobiota	t_phylum!Calditrichota	t_phylum!Bdellovibrionota	t_phylum!Thermoplasmatota	t_phylum!p_Proteobacteria	t_phylum!Sumerlaeota	t_phylum!Fibrobacterota	t_phylum!Patescibacteria
P01_D00_010_W3A	2595	833	2746	977	609	2031	536	1705	182	261	588	602	644	98	242	219	143	170	126	252	74	0	0	0	0	0	3	0	0	0	0
P01_D00_010_W8A	1741	437	1947	1458	289	5968	260	2231	162	34	473	751	472	115	237	73	57	35	66	80	37	9	17	0	0	2	0	0	0	1	0
P02_D00_010_C0A	2796	1033	3336	917	815	1017	592	1878	285	308	990	913	706	245	224	254	197	161	236	222	18	14	4	17	0	10	0	2	0	0	0
P03_D00_010_W3B	1868	928	3256	597	839	1943	612	2043	274	296	1188	1417	552	377	280	204	187	137	192	166	97	16	0	16	3	4	0	0	0	0	0
P03_D00_010_W8B	2149	1829	1059	1499	177	1558	255	1858	121	22	208	421	154	43	81	15	68	4	0	32	12	0	158	0	0	3	0	0	0	11	0
P04_D00_010_C0B	1849	1425	3463	657	1000	1496	726	1638	310	422	1138	577	485	326	147	301	301	169	354	157	45	28	6	13	15	11	7	4	4	0	0
P05_D00_010_W3C	1473	938	4202	724	648	1094	651	2332	348	384	1353	1309	656	508	168	342	380	167	253	201	148	38	0	0	33	0	8	0	0	0	2
P05_D00_010_W8C	1904	936	1101	1642	175	6123	237	1641	137	17	215	219	238	28	155	72	58	2	12	33	9	0	7	0	0	3	0	0	0	1	0
P06_D00_010_C0C	1728	1311	2670	803	1042	1547	481	1197	218	391	1008	904	267	504	140	288	187	204	261	139	51	7	0	23	15	19	4	14	3	0	0
P07_D00_010_W3D	2306	845	3119	1334	444	1647	484	2429	237	177	776	1046	642	198	267	175	141	55	74	249	87	14	0	19	17	7	0	0	0	0	2
P07_D00_010_W8D	1369	482	1951	662	380	3295	264	884	233	57	620	1063	373	261	208	185	146	119	22	66	43	39	0	0	0	0	0	0	0	0	0
P08_D00_010_C0D	1861	1355	3305	565	1105	619	594	1220	283	319	1009	1236	303	678	175	345	222	166	181	147	18	14	7	22	9	1	13	0	8	0	0
P09_D00_010_W3E	2327	1030	2827	994	511	1286	416	2842	246	172	1049	1040	507	337	265	139	172	74	109	193	100	25	0	15	6	4	5	0	0	0	6
P09_D00_010_W8E	1187	333	1754	683	31	2522	120	500	132	108	1350	569	146	223	376	99	57	323	22	28	13	9	0	0	0	0	0	0	0	0	0
P10_D00_010_C0E	2864	1692	2872	1129	278	955	370	921	167	289	1061	398	406	361	177	239	232	328	195	106	51	0	0	0	13	19	2	0	0	0	0
