taxon	t_phylum!Alphaproteobacteria	t_phylum!Gammaproteobacteria	t_phylum!Acidobacteriota	t_phylum!Actinobacteriota	t_phylum!Bacteroidota	t_phylum!Firmicutes	t_phylum!Myxococcota	t_phylum!Verrucomicrobiota	t_phylum!Chloroflexi	t_phylum!Planctomycetota	t_phylum!Methylomirabilota	t_phylum!Crenarchaeota	t_phylum!RCP2-54	t_phylum!k_Bacteria	t_phylum!Gemmatimonadota	t_phylum!Nitrospirota	t_phylum!Entotheonellaeota	t_phylum!Latescibacterota	t_phylum!Desulfobacterota	t_phylum!NB1-j	t_phylum!MBNT15	t_phylum!Bdellovibrionota	t_phylum!Patescibacteria	t_phylum!Cyanobacteria	t_phylum!Elusimicrobiota	t_phylum!Armatimonadota	t_phylum!Dependentiae	t_phylum!Calditrichota	t_phylum!Thermoplasmatota	t_phylum!p_Proteobacteria	t_phylum!Nanoarchaeota	t_phylum!Dadabacteria	t_phylum!Sumerlaeota	t_phylum!SAR324_clade(Marine_group_B)	t_phylum!Fibrobacterota	t_phylum!FCPU426	t_phylum!Deinococcota	t_phylum!Spirochaetota	t_phylum!k_Archaea	t_phylum!Deferrisomatota	t_phylum!PAUC34f	t_phylum!Abditibacteriota	t_phylum!Hydrogenedentes	t_phylum!Zixibacteria	t_phylum!WPS-2	t_phylum!Halobacterota	t_phylum!Sva0485	t_phylum!GAL15	t_phylum!WS2	t_phylum!Poribacteria	t_phylum!WS4	t_phylum!AncK6	t_phylum!DTB120	t_phylum!Euryarchaeota	t_phylum!Margulisbacteria	t_phylum!Fusobacteriota	t_phylum!Iainarchaeota	t_phylum!Micrarchaeota
P01_D00_010_W3A	9724	4379	11774	5082	3614	6547	3358	5995	1704	2593	2085	1841	1836	1812	1023	360	960	594	685	830	203	258	92	160	109	40	68	0	19	24	11	11	21	28	8	10	0	2	5	8	0	3	2	7	2	13	0	0	0	0	0	0	0	0	0	0	0	2
P01_D00_010_W8A	5747	2045	9968	4963	1543	15091	2059	6885	1038	1341	1272	2639	1338	1087	586	367	921	357	375	165	199	97	115	39	116	82	14	0	0	13	19	7	7	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02_D00_010_C0A	9631	3848	14389	4945	3230	3081	3519	6984	2248	2921	3033	2862	2024	1248	1079	720	1035	948	839	616	283	219	96	121	177	72	95	0	32	24	5	25	20	10	4	18	0	5	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
P03_D00_010_W3B	6796	4044	14399	3254	3679	6162	3581	8347	2577	3331	3723	4316	1758	1306	1146	1459	1131	1076	1006	622	425	142	137	224	136	65	75	20	18	23	13	10	6	9	12	13	0	0	39	16	0	0	2	6	3	0	10	2	0	0	2	2	0	0	0	0	0	0
P03_D00_010_W8B	9484	7374	7371	6336	2577	4060	1783	5445	1310	1236	479	1330	359	482	785	285	185	123	191	32	41	300	351	311	204	640	79	0	46	15	21	0	9	0	15	5	60	0	2	3	0	10	2	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0
P04_D00_010_C0B	4945	4332	10664	2380	3352	3443	3490	4579	1810	2529	2781	1282	1026	978	1086	799	413	965	911	687	265	236	121	204	157	47	56	37	80	27	12	2	24	12	8	22	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
P05_D00_010_W3C	3091	2542	10810	1930	1736	2255	2555	5404	1503	1803	2812	2518	1271	743	896	1106	594	891	1034	492	363	67	102	132	97	52	40	51	43	26	8	6	14	3	0	12	0	0	11	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
P05_D00_010_W8C	12224	8540	9899	9595	2043	22643	2748	7060	1598	1425	1121	1185	884	887	1707	265	603	117	446	124	89	208	439	156	115	135	163	0	4	24	99	0	6	0	21	2	0	3	0	0	0	8	0	0	0	6	0	6	0	0	0	0	0	0	0	0	2	0
P06_D00_010_C0C	7348	6511	14784	4394	6561	5644	4309	5953	2686	3816	3668	3197	1053	1458	1512	1908	765	1491	1154	930	422	363	181	227	231	103	93	62	40	58	15	58	33	25	27	28	2	10	0	13	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07_D00_010_W3D	8165	3688	11290	6403	1975	4799	2633	6659	1582	1748	2194	2936	1578	1152	1111	579	831	460	530	294	225	144	170	87	116	94	59	42	6	28	17	6	0	4	8	0	0	5	0	2	0	4	0	0	2	0	0	2	4	0	0	0	0	0	0	0	0	0
