Sample_ID	PLOT	TREAT	TREAT_T	PAIR	SEASON	ATAP	AST	H2O	N	P	Al	Ca	Fe	K	Mg	Mn	Na	TEB	ECEC	pH	minPO4	minNH4	minNO3	minTIN	NH4	NO3	PO4	DOC	DON	DOCN	micC	micN	micP	micCN	micCP	micNP	AG_ase	BG_ase	BP_ase	CE_ase	P_ase	N_ase	S_ase	XY_ase	AG_Q10	BG_Q10	BP_Q10	CE_Q10	P_Q10	N_Q10	S_Q10	XY_Q10	CO2	LP_ase	LP_Q10	PX_ase	PX_Q10	CUEcn	CUEcp	NUE	PUE	Tmin	SI	enzCN	enzCP	enzNP
P01_D00_010_W3A	P01	W	3	A	W	29	29.38	0.3999	0.4267	0.35	0	31.43	0.01	1.72	9.98	0.04	0.15	43.3	43.3	6.01	1.33	3.67	47.17	50.83	8.03	4.67	9.52	118.74	11.66	11.15	690.11	135.48	87.98	4.61	8.61	1.74	0.26	4.1	3.5	1	20.43	5.63	6.08	1.17	1.77	1.38	1.39	2.03	1.37	1.46	1.3	1.72	11.78	52.8	1.76	147.13	1.22	0.32	0.21	0.77	0.88	0.07	1.51	0.4614	0.5911	1.2812
P01_D00_010_W8A	P01	W	8	A	W	34	30.66	0.261	0.4267	0.35	0	31.43	0.01	1.72	9.98	0.04	0.15	43.3	43.3	6.01	0.12	1.65	11.31	12.96	4.08	2.65	8.55	39.7	4.2	9.45	469	84	55	5.58	8.48	1.52	0.15	6.97	5.34	2.07	25.65	4.52	6.7	2.52	2.01	1.75	1.51	1.87	1.39	1.56	1.65	1.86	4.28	40.69	1.71	211.18	1.07	0.23	0.18	0.87	0.9	2.19	2.3	0.6456	0.7166	1.11
P02_D00_010_C0A	P02	C	0	A	W	26	26.2	0.3793	0.3367	0.43	0.01	36.65	0.01	0.69	8.16	0.04	0.11	45.6	45.7	6.18	1.42	3.92	24.33	28.25	4.81	3.13	7.58	75.86	8.22	9.44	444.72	110.13	65.03	4.42	8.13	2.37	0.24	4.22	2.54	1.09	15.07	3.54	3.8	1.01	1.51	1.31	1.34	1.89	1.22	1.54	1.23	1.59	5.27	38.61	1.81	94.13	1.58	0.22	0.21	0.87	0.88	0.14	1.44	0.5024	0.6554	1.3044
P03_D00_010_W3B	P03	W	3	B	W	29	29.29	0.4007	0.32	0.37	0.01	27.19	0.01	0.85	16.51	0.06	0.12	44.7	44.7	5.86	2.83	3.33	42.5	45.83	3.11	2.57	8.66	60.57	6.48	10.12	364.62	66.4	70.68	5.07	6.7	1.31	0.33	4.37	3.05	1.26	19.21	3.58	5.72	1.36	2.48	1.36	1.42	1.99	1.27	1.54	1.27	1.72	4.46	32.1	2	119.75	1.41	0.26	0.18	0.84	0.9	-0.29	1.49	0.5565	0.6412	1.1522
P03_D00_010_W8B	P03	W	8	B	W	34	41.77	0.243	0.32	0.37	0.01	27.19	0.01	0.85	16.51	0.06	0.12	44.7	44.7	5.86	0.2	1.28	22.71	23.99	2.5	1.06	2.8	33.2	2.5	13.29	117	20	11	5.85	10.54	1.8	0.02	3.04	2.89	0.65	18.11	2.91	1.28	0.76	1.49	1.56	1.55	1.9	1.51	1.75	1.39	1.89	40.47	13.94	1.77	225.56	1.15	0.29	0.33	0.81	0.77	0.63	1.72	0.5302	0.4918	0.9277
P04_D00_010_C0B	P04	C	0	B	W	26	26.29	0.3832	0.3033	0.33	0	29.23	0.02	1.18	14.59	0.12	0.14	45.1	45.3	5.73	1.5	3.17	19.92	23.08	5.57	3.22	7.95	59.51	6.32	10.67	440.6	86.19	81.45	5.14	5.39	1.09	0.22	4.57	3.02	1.09	20.27	3.65	4.92	1.11	1.51	1.5	1.58	2.3	1.37	1.85	1.39	1.76	4.06	29.51	2.14	81.25	1.24	0.25	0.19	0.85	0.9	-2.63	1.25	0.555	0.6173	1.1123
P05_D00_010_W3C	P05	W	3	C	W	29	28.53	0.3545	0.3333	0.33	0	26.14	0	0.67	14.83	0.05	0	41.6	41.7	5.87	1.17	2.17	11.25	13.42	2.32	3.31	7.3	64.98	7.03	11.93	284.5	48.79	52.5	5.57	8.33	1.39	0.34	3.01	2.34	0.76	15.19	2.61	3.2	0.86	1.48	1.35	1.39	1.88	1.28	1.51	1.3	1.82	4.62	24.11	1.79	110.75	1.33	0.27	0.18	0.83	0.9	0.81	1.77	0.4877	0.5596	1.1473
P05_D00_010_W8C	P05	W	8	C	W	34	36.24	0.233	0.3333	0.33	0	26.14	0	0.67	14.83	0.05	0	41.6	41.7	5.87	0.11	1.18	36.61	37.79	3.91	2.3	4.25	45	4.3	10.46	440	97	56	4.54	7.91	1.74	0.15	9.09	7.28	1.5	44.04	5.56	5.57	1.75	1.73	1.72	1.42	1.95	1.48	1.68	1.6	1.88	15.37	32.65	1.67	245.65	1.23	0.19	0.23	0.9	0.87	0.94	2.08	0.6931	0.6412	0.9251
P06_D00_010_C0C	P06	C	0	C	W	26	26.26	0.3774	0.3333	0.3	0	32.07	0	0.57	21.32	0.06	0.14	54.1	54.2	5.93	0.75	1.83	19.67	21.5	2.92	2.27	7.04	56.68	5.42	11.09	390.66	72.61	85.7	5.26	4.5	0.83	0.21	3.22	2.33	0.75	14.79	2.57	5.45	0.66	1.83	1.31	1.44	2.36	1.24	1.6	1.47	1.63	4.28	27.78	1.85	92.5	1.53	0.27	0.16	0.83	0.92	-0.13	1.42	0.4624	0.5556	1.2017
P07_D00_010_W3D	P07	W	3	D	W	29	28.78	0.3849	0.4367	0.35	0	28.13	0.01	1.6	18.87	0.07	0.1	48.7	48.8	6.21	1	2.42	20.67	23.08	4.28	5.07	9.15	73.98	8.47	9.93	396.42	73.73	93.13	4.72	4.66	0.98	0.32	4.14	3.45	1.07	23.26	3.7	5.86	1.11	1.72	1.45	1.46	1.76	1.28	1.36	1.3	1.63	6.19	42.4	1.96	97	1.15	0.27	0.15	0.83	0.92	0.65	1.61	0.4941	0.5762	1.1662
P07_D00_010_W8D	P07	W	8	D	W	34	29.9	0.204	0.4367	0.35	0	28.13	0.01	1.6	18.87	0.07	0.1	48.7	48.8	6.21	0.02	2.6	12.31	14.91	8.19	6.39	5.62	44.3	3.7	11.98	676	147	94	4.6	7.18	1.56	0.39	8.61	7.11	1.53	35.1	8.34	10.68	1.42	1.31	1.39	1.42	1.96	1.33	1.54	1.51	1.91	8.87	57.13	1.4	294.39	1.27	0.26	0.17	0.84	0.91	1.48	1.81	0.5933	0.6628	1.1173
P08_D00_010_C0D	P08	C	0	D	W	26	25.8	0.4011	0.2433	0.27	0	25.49	0	1.86	14.93	0.02	0.08	42.3	42.4	6.01	3.67	4.33	106.42	110.75	2.04	3.71	5.97	44.89	5.22	11.57	277.37	56.55	33.4	4.72	11.55	2.45	0.15	3.55	1.77	0.68	13.02	2.95	3.56	0.71	2.08	1.76	1.74	2	1.48	1.69	1.48	1.83	2.08	21.96	2.07	92.38	3.58	0.24	0.22	0.85	0.88	0	1.54	0.5058	0.6037	1.1935
P09_D00_010_W3E	P09	W	3	E	W	29	28.8	0.3646	0.2833	0.36	0.02	39.79	0.04	1.09	20.64	0.08	0.19	61.7	61.8	6.1	2.58	3.5	11.58	15.08	2.03	2.9	8.28	43.84	5.56	12.21	392.56	62.37	66.65	5.78	7.34	1.19	0.2	3.92	2.26	0.86	16.9	2.83	5.26	1.01	1.67	1.36	1.56	1.81	1.35	1.48	1.32	1.84	9.39	30.37	1.9	122.63	1.39	0.26	0.21	0.84	0.88	-0.24	1.51	0.5112	0.6064	1.1862
P09_D00_010_W8E	P09	W	8	E	W	34	31.61	0.359	0.2833	0.36	0.02	39.79	0.04	1.09	20.64	0.08	0.19	61.7	61.8	6.1	0	0.92	7.84	8.76	6.5	2.76	6.08	30.8	1.6	19.27	416	91	63	4.57	6.6	1.44	0.37	10.48	6.46	2.21	35.75	9.43	11.78	1.84	1.93	1.53	1.44	2.11	1.38	1.46	1.5	1.76	13.6	53.79	1.79	339.6	1.27	0.24	0.19	0.85	0.89	0.96	1.82	0.6515	0.7218	1.1079
P10_D00_010_C0E	P10	C	0	E	W	26	26.09	0.3702	0.26	0.32	0.02	37.06	0.01	1.38	21.43	0.07	0.13	60	60.1	6.28	4.08	4.75	37.33	42.08	3.44	4.53	9.45	63.79	4.91	14.67	334.93	72.64	64.23	4.49	5.54	1.17	0.28	4.62	2.11	0.86	14.8	3.37	4.54	0.72	1.54	1.37	1.41	1.81	1.27	1.47	1.33	1.65	5.21	32.22	1.8	111.88	1.14	0.22	0.16	0.87	0.92	-2.46	1.29	0.5231	0.6607	1.263
