sample_id	Observed	Observed_fi	Observed_pe	Observed_pi	Shannon_exp	Shannon_exp_fi	Shannon_exp_pe	Shannon_exp_pi	InvSimpson	InvSimpson_fi	InvSimpson_pe	InvSimpson_pi
P01_W3A	945	499	148	181	55.9	33.8	18.5	14.8	10.7	8.4	6.8	5.6
P01_W8A	719	344	98	123	141.5	79.0	31.8	31.6	42.4	28.1	17.3	12.5
P02_C0A	1011	494	147	238	112.5	64.0	38.1	43.3	36.1	26.2	21.9	19.9
P03_W3B	765	423	136	196	132.9	83.0	45.7	56.5	44.1	29.1	24.4	26.9
P03_W8B	349	204	64	109	112.1	72.2	26.2	42.8	49.0	36.4	17.8	23.7
P04_C0B	1017	471	161	229	60.9	43.3	25.2	39.5	17.6	15.5	12.5	20.6
P05_W8C	616	296	90	131	157.5	76.6	34.2	35.1	41.8	20.7	15.3	11.5
P06_C0C	954	486	157	246	99.5	58.4	34.2	35.2	23.9	16.5	14.8	13.1
P07_W3D	867	492	147	205	160.4	102.9	46.3	48.0	56.2	42.8	27.2	22.5
P07_W8D	335	223	76	97	35.0	28.0	16.9	18.1	13.7	12.3	9.1	9.9
P08_C0D	702	345	105	198	87.2	46.7	25.7	30.7	25.5	17.9	14.2	14.2
P09_W3E	745	390	118	196	232.7	133.6	51.9	66.6	96.0	61.7	33.9	34.9
P10_C0E	812	404	143	203	24.6	14.7	11.1	8.1	4.9	4.0	3.8	2.5
