Sample	raw	pre_filt	cut	filter	denoiseF	denoiseR	merge	nonchim	final	asvs
P01_W3A	50894	50882	50419	35999	32635	33389	29795	29794	29794	945
P01_W8A	70734	70649	68075	48230	47150	47059	41880	41880	41880	719
P02_C0A	74581	74557	73994	58956	58018	58130	51144	51144	51144	1011
P03_W3B	60006	59953	58146	42563	42253	42151	38442	38374	38374	765
P03_W8B	31174	31029	25782	17548	17132	17210	14188	14188	14188	349
P04_C0B	88732	88694	87532	68259	64797	67613	56594	56593	56593	1017
P05_W3C	809	797	412	308	302	302	296	296	NA	NA
P05_W8C	81908	81671	74669	48518	41357	46321	35713	35600	35600	616
P06_C0C	67419	67399	66656	51055	50634	50362	45851	45850	45850	954
P07_W3D	70123	70073	68474	43471	42194	42074	36121	36063	36063	867
P07_W8D	15435	15417	14955	9488	9426	9427	9172	9172	9172	335
P08_C0D	60799	60604	54534	41563	41243	41077	38392	38371	38371	702
P09_W3E	55927	55764	51382	35722	35410	35168	29155	29102	29102	745
P09_W8E	1418	1383	141	85	84	82	80	80	NA	NA
P10_C0E	96531	96492	95256	80877	68681	70013	64805	64636	64636	812
