sample_id	Observed	Observed_fi	Observed_pe	Observed_pi	Shannon_exp	Shannon_exp_fi	Shannon_exp_pe	Shannon_exp_pi	InvSimpson	InvSimpson_fi	InvSimpson_pe	InvSimpson_pi
P01_W3A	2371	831	707	502	760.7	385.1	353.4	226.3	200.3	128.0	123.6	84.2
P01_W8A	1610	620	563	322	236.1	127.8	126.5	59.2	25.5	18.9	19.1	12.0
P02_C0A	2272	884	737	590	781.1	437.1	397.4	291.2	261.5	178.5	171.6	129.3
P03_W3B	2356	922	764	596	686.8	373.7	337.3	235.0	159.4	108.7	103.8	75.8
P03_W8B	1575	422	411	224	501.0	181.0	211.9	90.1	153.3	69.2	82.6	38.6
P04_C0B	2040	802	663	570	797.8	439.4	388.4	309.2	272.0	178.8	166.8	130.7
P05_W3C	1663	680	574	499	578.8	329.4	299.2	246.1	201.2	139.5	132.6	111.0
P05_W8C	2124	572	661	289	307.3	102.4	146.9	47.9	27.3	14.9	18.5	9.6
P06_C0C	3065	1011	857	664	1098.4	518.7	481.3	324.7	309.4	182.0	179.7	120.6
P07_W3D	2010	843	725	516	598.8	353.4	327.5	208.0	146.8	103.7	99.7	67.5
P07_W8D	2157	771	671	276	560.8	284.2	270.3	88.1	91.5	60.2	60.2	24.4
P08_C0D	2441	813	681	594	973.3	464.8	419.8	331.3	394.2	230.0	220.5	168.7
P09_W3E	2386	874	751	563	680.1	352.7	334.5	224.4	168.5	110.3	109.4	76.5
P09_W8E	813	376	332	170	375.3	165.6	149.9	67.9	120.2	55.7	56.8	26.4
P10_C0E	2066	670	571	491	886.8	416.5	379.4	298.3	427.6	242.8	231.4	174.7
