Sample	raw	pre_filt	cut	filter	denoiseF	nonchim	final	asvs
P01_W3A	85489	85482	85402	79804	70434	68037	67902	2371
P01_W8A	77645	77642	77470	72760	65950	60535	60509	1610
P02_C0A	87091	87085	86878	81240	71961	70436	70412	2272
P03_W3B	93065	93053	92851	86732	78067	75183	75123	2356
P03_W8B	66401	66367	65498	60860	54822	53437	53347	1575
P04_C0B	67810	67800	67617	63037	54678	53813	53770	2040
P05_W3C	58266	58259	58006	54127	47868	47070	47023	1663
P05_W8C	120892	120842	117015	109421	100026	86841	86600	2124
P06_C0C	101599	101592	101363	94740	83190	81219	81150	3065
P07_W3D	76781	76776	76583	71678	64031	61742	61632	2010
P07_W8D	79032	79022	78724	73639	65125	62202	62117	2157
P08_C0D	77599	77591	77133	72263	63248	62171	62136	2441
P09_W3E	95566	95564	95310	89315	79799	76299	76231	2386
P09_W8E	95182	94457	44250	33000	31620	25151	25088	813
P10_C0E	67583	67579	67432	62598	54075	53625	53600	2066
